mediSpanDrug,mediSpanDisease
medispan:C0690142,medispan:C0024591
medispan:C0772614,medispan:C0024591
medispan:C0772615,medispan:C0024591
medispan:C0689152,medispan:C0025202
medispan:C0702984,medispan:C0025202
medispan:C0705827,medispan:C0025202
medispan:C0691374,medispan:C0025281
medispan:C0691375,medispan:C0025281
medispan:C0687763,medispan:C0026267
medispan:C0687764,medispan:C0026267
medispan:C0689704,medispan:C0026267
medispan:C0689705,medispan:C0026267
medispan:C0689706,medispan:C0026267
medispan:C0689707,medispan:C0026267
medispan:C0689708,medispan:C0026267
medispan:C0690023,medispan:C0026267
medispan:C0690024,medispan:C0026267
medispan:C0692690,medispan:C0026267
medispan:C0356432,medispan:C0026764
medispan:C0688416,medispan:C0026764
medispan:C0688417,medispan:C0026764
medispan:C0688418,medispan:C0026764
medispan:C0688435,medispan:C0026764
medispan:C0688436,medispan:C0026764
medispan:C0688489,medispan:C0026764
medispan:C0688490,medispan:C0026764
medispan:C0688492,medispan:C0026764
medispan:C0688493,medispan:C0026764
medispan:C0688495,medispan:C0026764
medispan:C0688496,medispan:C0026764
medispan:C0688497,medispan:C0026764
medispan:C0688498,medispan:C0026764
medispan:C0688502,medispan:C0026764
medispan:C0689112,medispan:C0026764
medispan:C0689115,medispan:C0026764
medispan:C0689119,medispan:C0026764
medispan:C0689455,medispan:C0026764
medispan:C0690616,medispan:C0026764
medispan:C0690617,medispan:C0026764
medispan:C0690618,medispan:C0026764
medispan:C0690619,medispan:C0026764
medispan:C0693521,medispan:C0026764
medispan:C0694436,medispan:C0026764
medispan:C0707528,medispan:C0026764
medispan:C0691451,medispan:C0027794
medispan:C0691452,medispan:C0027794
medispan:C0692737,medispan:C0027794
medispan:C0773592,medispan:C0027794
medispan:C0688935,medispan:C0027794
medispan:C0688710,medispan:C0029401
medispan:C0689204,medispan:C0029401
medispan:C0689206,medispan:C0029401
medispan:C0689207,medispan:C0029401
medispan:C0693086,medispan:C0029401
medispan:C0705239,medispan:C0029401
medispan:C0706124,medispan:C0029401
medispan:C0706125,medispan:C0029401
medispan:C0350230,medispan:C0029408
medispan:C0353487,medispan:C0029408
medispan:C0705766,medispan:C0020443
medispan:C0689404,medispan:C0020474
medispan:C0689405,medispan:C0020474
medispan:C0689406,medispan:C0020474
medispan:C0690321,medispan:C0020474
medispan:C0693627,medispan:C0020474
medispan:C0693628,medispan:C0020474
medispan:C0693848,medispan:C0020474
medispan:C0694301,medispan:C0020474
medispan:C0694372,medispan:C0020474
medispan:C0350245,medispan:C0020474
medispan:C0702289,medispan:C0020474
medispan:C0702291,medispan:C0020474
