mediSpanDrug,mediSpanDisease
medispan:C0792025,medispan:C0014518
medispan:C0792433,medispan:C0014518
medispan:C0793268,medispan:C0014518
medispan:C0794688,medispan:C0014518
medispan:C0794689,medispan:C0014518
medispan:C0873452,medispan:C0014518
medispan:C0936051,medispan:C0014518
medispan:C0974388,medispan:C0014518
medispan:C0974390,medispan:C0014518
medispan:C0974392,medispan:C0014518
medispan:C0974952,medispan:C0014518
medispan:C0974953,medispan:C0014518
medispan:C0975240,medispan:C0014518
medispan:C0975243,medispan:C0014518
medispan:C0975246,medispan:C0014518
medispan:C0975384,medispan:C0014518
medispan:C0975385,medispan:C0014518
medispan:C0975386,medispan:C0014518
medispan:C0975387,medispan:C0014518
medispan:C0975388,medispan:C0014518
medispan:C0975389,medispan:C0014518
medispan:C0976476,medispan:C0014518
medispan:C0977744,medispan:C0014518
medispan:C0977745,medispan:C0014518
medispan:C0978084,medispan:C0014518
medispan:C0978085,medispan:C0014518
medispan:C0978243,medispan:C0014518
medispan:C0978244,medispan:C0014518
medispan:C0978248,medispan:C0014518
medispan:C0978874,medispan:C0014518
medispan:C0978875,medispan:C0014518
medispan:C0978949,medispan:C0014518
medispan:C0979316,medispan:C0014518
medispan:C0979345,medispan:C0014518
medispan:C0979364,medispan:C0014518
medispan:C0979478,medispan:C0014518
medispan:C0979479,medispan:C0014518
medispan:C0979499,medispan:C0014518
medispan:C0979501,medispan:C0014518
medispan:C0979502,medispan:C0014518
medispan:C0981211,medispan:C0014518
medispan:C0981212,medispan:C0014518
medispan:C0981277,medispan:C0014518
medispan:C0982822,medispan:C0014518
medispan:C0995120,medispan:C0014518
medispan:C1145679,medispan:C0014518
medispan:C1164511,medispan:C0014518
medispan:C1164879,medispan:C0014518
medispan:C1164881,medispan:C0014518
medispan:C1168675,medispan:C0014518
medispan:C1272548,medispan:C0014518
medispan:C1275984,medispan:C0014518
medispan:C1321921,medispan:C0014518
